project,repository,category,id,mode,referenceRuntimeMode,implementation,tests,knownLimitations
"RCL","xingxuling/RCL","domain","quantitative","none","native","src/runtime.mjs#quantitative","runtime-invocation:examples/eight-domain-foundation.rcl; runtime-result-shape:examples/eight-domain-foundation.rcl; runtime-invocation:examples/foundation-closure.rcl; runtime-result-shape:examples/foundation-closure.rcl; runtime-invocation:examples/cognitive-creation-agent.rcl; runtime-result-shape:examples/cognitive-creation-agent.rcl; runtime-invocation:examples/meta-runtime-foundation.rcl; runtime-result-shape:examples/meta-runtime-foundation.rcl; runtime-coverage; behavior-mutation; deterministic-replay","Reference Runtime is covered; Native VM lowering still requires an explicit provider and is not counted as native conformance."
"RCL","xingxuling/RCL","domain","knowledge","none","native","src/runtime.mjs#knowledge","runtime-invocation:examples/eight-domain-foundation.rcl; runtime-result-shape:examples/eight-domain-foundation.rcl; runtime-invocation:examples/foundation-closure.rcl; runtime-result-shape:examples/foundation-closure.rcl; runtime-invocation:examples/cognitive-creation-agent.rcl; runtime-result-shape:examples/cognitive-creation-agent.rcl; runtime-invocation:examples/meta-runtime-foundation.rcl; runtime-result-shape:examples/meta-runtime-foundation.rcl; runtime-coverage; behavior-mutation; deterministic-replay","Reference Runtime is covered; Native VM lowering still requires an explicit provider and is not counted as native conformance."
"RCL","xingxuling/RCL","domain","scientific","none","native","src/runtime.mjs#science","runtime-invocation:examples/eight-domain-foundation.rcl; runtime-result-shape:examples/eight-domain-foundation.rcl; runtime-invocation:examples/foundation-closure.rcl; runtime-result-shape:examples/foundation-closure.rcl; runtime-invocation:examples/cognitive-creation-agent.rcl; runtime-result-shape:examples/cognitive-creation-agent.rcl; runtime-invocation:examples/meta-runtime-foundation.rcl; runtime-result-shape:examples/meta-runtime-foundation.rcl; runtime-coverage; behavior-mutation; deterministic-replay","Reference Runtime is covered; Native VM lowering still requires an explicit provider and is not counted as native conformance."
"RCL","xingxuling/RCL","domain","spiritual","none","native","src/runtime.mjs#spirit","runtime-invocation:examples/eight-domain-foundation.rcl; runtime-result-shape:examples/eight-domain-foundation.rcl; runtime-invocation:examples/foundation-closure.rcl; runtime-result-shape:examples/foundation-closure.rcl; runtime-invocation:examples/cognitive-creation-agent.rcl; runtime-result-shape:examples/cognitive-creation-agent.rcl; runtime-invocation:examples/meta-runtime-foundation.rcl; runtime-result-shape:examples/meta-runtime-foundation.rcl; runtime-coverage; behavior-mutation; deterministic-replay","Reference Runtime is covered; Native VM lowering still requires an explicit provider and is not counted as native conformance."
"RCL","xingxuling/RCL","composite-plane","natural-language-reality","none","native","src/runtime.mjs#natural-language-plane","runtime-invocation:examples/eight-domain-foundation.rcl; runtime-result-shape:examples/eight-domain-foundation.rcl; runtime-invocation:examples/foundation-closure.rcl; runtime-result-shape:examples/foundation-closure.rcl; runtime-invocation:examples/cognitive-creation-agent.rcl; runtime-result-shape:examples/cognitive-creation-agent.rcl; runtime-invocation:examples/meta-runtime-foundation.rcl; runtime-result-shape:examples/meta-runtime-foundation.rcl; runtime-coverage; behavior-mutation; deterministic-replay","Reference Runtime is covered; Native VM lowering still requires an explicit provider and is not counted as native conformance."
"RCL","xingxuling/RCL","composite-plane","understanding-reality","none","native","src/runtime.mjs#understanding-plane","runtime-invocation:examples/eight-domain-foundation.rcl; runtime-result-shape:examples/eight-domain-foundation.rcl; runtime-invocation:examples/foundation-closure.rcl; runtime-result-shape:examples/foundation-closure.rcl; runtime-invocation:examples/cognitive-creation-agent.rcl; runtime-result-shape:examples/cognitive-creation-agent.rcl; runtime-invocation:examples/meta-runtime-foundation.rcl; runtime-result-shape:examples/meta-runtime-foundation.rcl; runtime-coverage; behavior-mutation; deterministic-replay","Reference Runtime is covered; Native VM lowering still requires an explicit provider and is not counted as native conformance."
"RCL","xingxuling/RCL","composite-plane","creative-reality","none","native","src/runtime.mjs#creative-plane","runtime-invocation:examples/eight-domain-foundation.rcl; runtime-result-shape:examples/eight-domain-foundation.rcl; runtime-invocation:examples/foundation-closure.rcl; runtime-result-shape:examples/foundation-closure.rcl; runtime-invocation:examples/cognitive-creation-agent.rcl; runtime-result-shape:examples/cognitive-creation-agent.rcl; runtime-invocation:examples/meta-runtime-foundation.rcl; runtime-result-shape:examples/meta-runtime-foundation.rcl; runtime-coverage; behavior-mutation; deterministic-replay","Reference Runtime is covered; Native VM lowering still requires an explicit provider and is not counted as native conformance."
"RCL","xingxuling/RCL","composite-plane","inner-reality","none","none","","runtime-invocation:examples/eight-domain-foundation.rcl; runtime-result-shape:examples/eight-domain-foundation.rcl; runtime-invocation:examples/foundation-closure.rcl; runtime-result-shape:examples/foundation-closure.rcl; runtime-invocation:examples/cognitive-creation-agent.rcl; runtime-result-shape:examples/cognitive-creation-agent.rcl; runtime-invocation:examples/meta-runtime-foundation.rcl; runtime-result-shape:examples/meta-runtime-foundation.rcl; runtime-coverage; behavior-mutation; deterministic-replay","No runtime fixture covered this module."
"RCL","xingxuling/RCL","composite-plane","execution-reality","none","native","src/runtime.mjs#execution-reality","runtime-invocation:examples/eight-domain-foundation.rcl; runtime-result-shape:examples/eight-domain-foundation.rcl; runtime-invocation:examples/foundation-closure.rcl; runtime-result-shape:examples/foundation-closure.rcl; runtime-invocation:examples/cognitive-creation-agent.rcl; runtime-result-shape:examples/cognitive-creation-agent.rcl; runtime-invocation:examples/meta-runtime-foundation.rcl; runtime-result-shape:examples/meta-runtime-foundation.rcl; runtime-coverage; behavior-mutation; deterministic-replay","Reference Runtime is covered; Native VM lowering still requires an explicit provider and is not counted as native conformance."
"RCL","xingxuling/RCL","meta-plane","meta-spacetime","none","native","src/runtime.mjs#meta-spacetime","runtime-invocation:examples/eight-domain-foundation.rcl; runtime-result-shape:examples/eight-domain-foundation.rcl; runtime-invocation:examples/foundation-closure.rcl; runtime-result-shape:examples/foundation-closure.rcl; runtime-invocation:examples/cognitive-creation-agent.rcl; runtime-result-shape:examples/cognitive-creation-agent.rcl; runtime-invocation:examples/meta-runtime-foundation.rcl; runtime-result-shape:examples/meta-runtime-foundation.rcl; runtime-coverage; behavior-mutation; deterministic-replay","Reference Runtime is covered; Native VM lowering still requires an explicit provider and is not counted as native conformance."
"RCL","xingxuling/RCL","meta-plane","meta-acceleration","none","native","src/runtime.mjs#meta-acceleration","runtime-invocation:examples/eight-domain-foundation.rcl; runtime-result-shape:examples/eight-domain-foundation.rcl; runtime-invocation:examples/foundation-closure.rcl; runtime-result-shape:examples/foundation-closure.rcl; runtime-invocation:examples/cognitive-creation-agent.rcl; runtime-result-shape:examples/cognitive-creation-agent.rcl; runtime-invocation:examples/meta-runtime-foundation.rcl; runtime-result-shape:examples/meta-runtime-foundation.rcl; runtime-coverage; behavior-mutation; deterministic-replay","Reference Runtime is covered; Native VM lowering still requires an explicit provider and is not counted as native conformance."
"RCL","xingxuling/RCL","meta-plane","meta-compression","none","native","src/runtime.mjs#meta-compression","runtime-invocation:examples/eight-domain-foundation.rcl; runtime-result-shape:examples/eight-domain-foundation.rcl; runtime-invocation:examples/foundation-closure.rcl; runtime-result-shape:examples/foundation-closure.rcl; runtime-invocation:examples/cognitive-creation-agent.rcl; runtime-result-shape:examples/cognitive-creation-agent.rcl; runtime-invocation:examples/meta-runtime-foundation.rcl; runtime-result-shape:examples/meta-runtime-foundation.rcl; runtime-coverage; behavior-mutation; deterministic-replay","Reference Runtime is covered; Native VM lowering still requires an explicit provider and is not counted as native conformance."
"RCL","xingxuling/RCL","cross-domain-axis","authority-boundary","none","none","","runtime-invocation:examples/eight-domain-foundation.rcl; runtime-result-shape:examples/eight-domain-foundation.rcl; runtime-invocation:examples/foundation-closure.rcl; runtime-result-shape:examples/foundation-closure.rcl; runtime-invocation:examples/cognitive-creation-agent.rcl; runtime-result-shape:examples/cognitive-creation-agent.rcl; runtime-invocation:examples/meta-runtime-foundation.rcl; runtime-result-shape:examples/meta-runtime-foundation.rcl; runtime-coverage; behavior-mutation; deterministic-replay","No runtime fixture covered this module."
"RCL","xingxuling/RCL","cross-domain-axis","causality-evidence","none","none","","runtime-invocation:examples/eight-domain-foundation.rcl; runtime-result-shape:examples/eight-domain-foundation.rcl; runtime-invocation:examples/foundation-closure.rcl; runtime-result-shape:examples/foundation-closure.rcl; runtime-invocation:examples/cognitive-creation-agent.rcl; runtime-result-shape:examples/cognitive-creation-agent.rcl; runtime-invocation:examples/meta-runtime-foundation.rcl; runtime-result-shape:examples/meta-runtime-foundation.rcl; runtime-coverage; behavior-mutation; deterministic-replay","No runtime fixture covered this module."
"RCL","xingxuling/RCL","4r-control","explicit-variable","none","","conformance status: partial","behavior-mutation; deterministic-replay",""
"RCL","xingxuling/RCL","4r-control","provider-capability-boundary","none","","conformance status: partial","negative-authority; version-compatibility",""
"RCL","xingxuling/RCL","4r-control","authorization-evidence","none","","conformance status: partial","negative-authority; evidence-production",""
"RCL","xingxuling/RCL","4r-control","adaptive-invariant-field","none","","conformance status: partial","invariant-rejection; root-consistency",""
"RNCS-Unified-Platform","xingxuling/RNCS-Unified-Platform-","domain","metacomputation","none","","","",""
"RNCS-Unified-Platform","xingxuling/RNCS-Unified-Platform-","domain","computation","none","","","",""
"RNCS-Unified-Platform","xingxuling/RNCS-Unified-Platform-","domain","physical","none","","","",""
"RNCS-Unified-Platform","xingxuling/RNCS-Unified-Platform-","domain","energy","bridge","","RCL energy state through RNCS native control-plane compatibility adapter","packages/control/rncs-rcl-control-plane/tests/control-plane.test.mjs",""
"RNCS-Unified-Platform","xingxuling/RNCS-Unified-Platform-","domain","elemental","none","","","",""
"RNCS-Unified-Platform","xingxuling/RNCS-Unified-Platform-","domain","perception","none","","","",""
"RNCS-Unified-Platform","xingxuling/RNCS-Unified-Platform-","domain","neural","projection","","downstream cognition state lowered into RNCS collections","packages/control/rncs-rcl-control-plane/tests/control-plane.test.mjs",""
"RNCS-Unified-Platform","xingxuling/RNCS-Unified-Platform-","domain","embodiment","none","","","",""
"RNCS-Unified-Platform","xingxuling/RNCS-Unified-Platform-","domain","life","none","","","",""
"RNCS-Unified-Platform","xingxuling/RNCS-Unified-Platform-","domain","genetic","none","","","",""
"RNCS-Unified-Platform","xingxuling/RNCS-Unified-Platform-","domain","quantitative","none","","","",""
"RNCS-Unified-Platform","xingxuling/RNCS-Unified-Platform-","domain","knowledge","projection","","downstream cognition collections, not canonical Foundation result","packages/control/rncs-rcl-control-plane/tests/control-plane.test.mjs",""
"RNCS-Unified-Platform","xingxuling/RNCS-Unified-Platform-","domain","scientific","none","","","",""
"RNCS-Unified-Platform","xingxuling/RNCS-Unified-Platform-","domain","spiritual","none","","","",""
"RNCS-Unified-Platform","xingxuling/RNCS-Unified-Platform-","composite-plane","natural-language-reality","none","","","",""
"RNCS-Unified-Platform","xingxuling/RNCS-Unified-Platform-","composite-plane","understanding-reality","projection","","cognition state compatibility lowering","packages/control/rncs-rcl-control-plane/tests/control-plane.test.mjs",""
"RNCS-Unified-Platform","xingxuling/RNCS-Unified-Platform-","composite-plane","creative-reality","projection","","creation solution compatibility lowering","packages/control/rncs-rcl-control-plane/tests/control-plane.test.mjs",""
"RNCS-Unified-Platform","xingxuling/RNCS-Unified-Platform-","composite-plane","inner-reality","none","","","",""
"RNCS-Unified-Platform","xingxuling/RNCS-Unified-Platform-","composite-plane","execution-reality","native","","RNCS Proposal -> Authority -> Commit envelope","packages/kernel/rncs-core-contract/tests/foundation-governance.mjs",""
"RNCS-Unified-Platform","xingxuling/RNCS-Unified-Platform-","meta-plane","meta-spacetime","none","","","",""
"RNCS-Unified-Platform","xingxuling/RNCS-Unified-Platform-","meta-plane","meta-acceleration","none","","","",""
"RNCS-Unified-Platform","xingxuling/RNCS-Unified-Platform-","meta-plane","meta-compression","none","","","",""
"RNCS-Unified-Platform","xingxuling/RNCS-Unified-Platform-","cross-domain-axis","authority-boundary","native","","RNCS authority decision and commit gate","packages/kernel/rncs-core-contract/tests/foundation-governance.mjs",""
"RNCS-Unified-Platform","xingxuling/RNCS-Unified-Platform-","cross-domain-axis","causality-evidence","native","","proposal roots, causal parents, evidence roots and commit roots","packages/kernel/rncs-core-contract/tests/foundation-governance.mjs",""
"RNCS-Unified-Platform","xingxuling/RNCS-Unified-Platform-","4r-control","explicit-variable","native","","foundation_governance.explicitVariables and uncertainty","packages/kernel/rncs-core-contract/tests/foundation-governance.mjs",""
"RNCS-Unified-Platform","xingxuling/RNCS-Unified-Platform-","4r-control","provider-capability-boundary","native","","foundation_governance.providerCapabilities","packages/kernel/rncs-core-contract/tests/foundation-governance.mjs",""
"RNCS-Unified-Platform","xingxuling/RNCS-Unified-Platform-","4r-control","authorization-evidence","native","","authorityRequirements, irreversibleEffects and evidenceRequirements","packages/kernel/rncs-core-contract/tests/foundation-governance.mjs",""
"RNCS-Unified-Platform","xingxuling/RNCS-Unified-Platform-","4r-control","adaptive-invariant-field","native","","invariants and adaptiveInvariantField checked by commit gate","packages/kernel/rncs-core-contract/tests/foundation-governance.mjs",""
"WorldSeed GameBrain","xingxuling/zhinao","domain","metacomputation","projection","","src/rcl-native/reality-matrix.mjs#domainPayloads","tests/reality-matrix-v05.test.mjs","Domain behavior is still computed by GameBrain modules and projected into the RCL matrix; it is not counted as native or bridge conformance."
"WorldSeed GameBrain","xingxuling/zhinao","domain","computation","projection","","src/rcl-native/reality-matrix.mjs#domainPayloads","tests/reality-matrix-v05.test.mjs","Domain behavior is still computed by GameBrain modules and projected into the RCL matrix; it is not counted as native or bridge conformance."
"WorldSeed GameBrain","xingxuling/zhinao","domain","physical","projection","","src/rcl-native/reality-matrix.mjs#domainPayloads","tests/reality-matrix-v05.test.mjs","Domain behavior is still computed by GameBrain modules and projected into the RCL matrix; it is not counted as native or bridge conformance."
"WorldSeed GameBrain","xingxuling/zhinao","domain","energy","projection","","src/rcl-native/reality-matrix.mjs#domainPayloads","tests/reality-matrix-v05.test.mjs","Domain behavior is still computed by GameBrain modules and projected into the RCL matrix; it is not counted as native or bridge conformance."
"WorldSeed GameBrain","xingxuling/zhinao","domain","elemental","projection","","src/rcl-native/reality-matrix.mjs#domainPayloads","tests/reality-matrix-v05.test.mjs","Domain behavior is still computed by GameBrain modules and projected into the RCL matrix; it is not counted as native or bridge conformance."
"WorldSeed GameBrain","xingxuling/zhinao","domain","perception","projection","","src/rcl-native/reality-matrix.mjs#domainPayloads","tests/reality-matrix-v05.test.mjs","Domain behavior is still computed by GameBrain modules and projected into the RCL matrix; it is not counted as native or bridge conformance."
"WorldSeed GameBrain","xingxuling/zhinao","domain","neural","projection","","src/rcl-native/reality-matrix.mjs#domainPayloads","tests/reality-matrix-v05.test.mjs","Domain behavior is still computed by GameBrain modules and projected into the RCL matrix; it is not counted as native or bridge conformance."
"WorldSeed GameBrain","xingxuling/zhinao","domain","embodiment","projection","","src/rcl-native/reality-matrix.mjs#domainPayloads","tests/reality-matrix-v05.test.mjs","Domain behavior is still computed by GameBrain modules and projected into the RCL matrix; it is not counted as native or bridge conformance."
"WorldSeed GameBrain","xingxuling/zhinao","domain","life","projection","","src/rcl-native/reality-matrix.mjs#domainPayloads","tests/reality-matrix-v05.test.mjs","Domain behavior is still computed by GameBrain modules and projected into the RCL matrix; it is not counted as native or bridge conformance."
"WorldSeed GameBrain","xingxuling/zhinao","domain","genetic","projection","","src/rcl-native/reality-matrix.mjs#domainPayloads","tests/reality-matrix-v05.test.mjs","Domain behavior is still computed by GameBrain modules and projected into the RCL matrix; it is not counted as native or bridge conformance."
"WorldSeed GameBrain","xingxuling/zhinao","domain","quantitative","projection","","src/rcl-native/reality-matrix.mjs#domainPayloads","tests/reality-matrix-v05.test.mjs","Domain behavior is still computed by GameBrain modules and projected into the RCL matrix; it is not counted as native or bridge conformance."
"WorldSeed GameBrain","xingxuling/zhinao","domain","knowledge","projection","","src/rcl-native/reality-matrix.mjs#domainPayloads","tests/reality-matrix-v05.test.mjs","Domain behavior is still computed by GameBrain modules and projected into the RCL matrix; it is not counted as native or bridge conformance."
"WorldSeed GameBrain","xingxuling/zhinao","domain","scientific","projection","","src/rcl-native/reality-matrix.mjs#domainPayloads","tests/reality-matrix-v05.test.mjs","Domain behavior is still computed by GameBrain modules and projected into the RCL matrix; it is not counted as native or bridge conformance."
"WorldSeed GameBrain","xingxuling/zhinao","domain","spiritual","projection","","src/rcl-native/reality-matrix.mjs#domainPayloads","tests/reality-matrix-v05.test.mjs","Domain behavior is still computed by GameBrain modules and projected into the RCL matrix; it is not counted as native or bridge conformance."
"WorldSeed GameBrain","xingxuling/zhinao","composite-plane","natural-language-reality","bridge","","src/cognition/foundation-cognitive-pipeline.mjs","tests/foundation-cognitive-pipeline-v01.test.mjs",""
"WorldSeed GameBrain","xingxuling/zhinao","composite-plane","understanding-reality","bridge","","src/cognition/foundation-cognitive-pipeline.mjs","tests/foundation-cognitive-pipeline-v01.test.mjs",""
"WorldSeed GameBrain","xingxuling/zhinao","composite-plane","creative-reality","bridge","","src/cognition/foundation-cognitive-pipeline.mjs","tests/foundation-cognitive-pipeline-v01.test.mjs",""
"WorldSeed GameBrain","xingxuling/zhinao","composite-plane","inner-reality","bridge","","src/cognition/foundation-cognitive-pipeline.mjs","tests/foundation-cognitive-pipeline-v01.test.mjs",""
"WorldSeed GameBrain","xingxuling/zhinao","composite-plane","execution-reality","bridge","","src/cognition/foundation-cognitive-pipeline.mjs","tests/foundation-cognitive-pipeline-v01.test.mjs",""
"WorldSeed GameBrain","xingxuling/zhinao","meta-plane","meta-spacetime","projection","","src/rcl-native/reality-matrix.mjs#meta","tests/reality-matrix-v05.test.mjs","The GameBrain implementation is active but does not yet emit its own standard Foundation runtime result."
"WorldSeed GameBrain","xingxuling/zhinao","meta-plane","meta-acceleration","projection","","src/rcl-native/reality-matrix.mjs#meta","tests/reality-matrix-v05.test.mjs","The GameBrain implementation is active but does not yet emit its own standard Foundation runtime result."
"WorldSeed GameBrain","xingxuling/zhinao","meta-plane","meta-compression","projection","","src/rcl-native/reality-matrix.mjs#meta","tests/reality-matrix-v05.test.mjs","The GameBrain implementation is active but does not yet emit its own standard Foundation runtime result."
"WorldSeed GameBrain","xingxuling/zhinao","cross-domain-axis","authority-boundary","bridge","","src/rcl-native/reality-matrix.mjs#enforceAuthorityAxis","tests/foundation-cognitive-pipeline-v01.test.mjs; tests/reality-matrix-v05.test.mjs",""
"WorldSeed GameBrain","xingxuling/zhinao","cross-domain-axis","causality-evidence","bridge","","src/rcl-native/reality-matrix.mjs#evaluateCausalityEvidenceAxis","tests/foundation-cognitive-pipeline-v01.test.mjs; tests/reality-matrix-v05.test.mjs",""
"WorldSeed GameBrain","xingxuling/zhinao","4r-control","explicit-variable","bridge","","src/cognition/foundation-cognitive-pipeline.mjs#foundationGovernance","tests/foundation-cognitive-pipeline-v01.test.mjs",""
"WorldSeed GameBrain","xingxuling/zhinao","4r-control","provider-capability-boundary","bridge","","src/cognition/foundation-cognitive-pipeline.mjs#foundationGovernance","tests/foundation-cognitive-pipeline-v01.test.mjs",""
"WorldSeed GameBrain","xingxuling/zhinao","4r-control","authorization-evidence","bridge","","src/cognition/foundation-cognitive-pipeline.mjs#foundationGovernance","tests/foundation-cognitive-pipeline-v01.test.mjs",""
"WorldSeed GameBrain","xingxuling/zhinao","4r-control","adaptive-invariant-field","bridge","","src/cognition/foundation-cognitive-pipeline.mjs#foundationGovernance","tests/foundation-cognitive-pipeline-v01.test.mjs",""
"Everbloom Worlds","xingxuling/everbloom-worlds","domain","metacomputation","none","","","",""
"Everbloom Worlds","xingxuling/everbloom-worlds","domain","computation","none","","","",""
"Everbloom Worlds","xingxuling/everbloom-worlds","domain","physical","none","","","",""
"Everbloom Worlds","xingxuling/everbloom-worlds","domain","energy","none","","","",""
"Everbloom Worlds","xingxuling/everbloom-worlds","domain","elemental","none","","","",""
"Everbloom Worlds","xingxuling/everbloom-worlds","domain","perception","none","","","",""
"Everbloom Worlds","xingxuling/everbloom-worlds","domain","neural","none","","","",""
"Everbloom Worlds","xingxuling/everbloom-worlds","domain","embodiment","none","","","",""
"Everbloom Worlds","xingxuling/everbloom-worlds","domain","life","none","","","",""
"Everbloom Worlds","xingxuling/everbloom-worlds","domain","genetic","none","","","",""
"Everbloom Worlds","xingxuling/everbloom-worlds","domain","quantitative","none","","","",""
"Everbloom Worlds","xingxuling/everbloom-worlds","domain","knowledge","none","","","",""
"Everbloom Worlds","xingxuling/everbloom-worlds","domain","scientific","none","","","",""
"Everbloom Worlds","xingxuling/everbloom-worlds","domain","spiritual","none","","","",""
"Everbloom Worlds","xingxuling/everbloom-worlds","composite-plane","natural-language-reality","bridge","","GameBrain Foundation cognition with verified compatibility provider fallback","scripts/verify-foundation-bridge.mjs",""
"Everbloom Worlds","xingxuling/everbloom-worlds","composite-plane","understanding-reality","bridge","","GameBrain Foundation cognition runtime result","scripts/verify-foundation-bridge.mjs",""
"Everbloom Worlds","xingxuling/everbloom-worlds","composite-plane","creative-reality","bridge","","GameBrain Foundation cognition runtime result","scripts/verify-foundation-bridge.mjs",""
"Everbloom Worlds","xingxuling/everbloom-worlds","composite-plane","inner-reality","bridge","","GameBrain Foundation cognition runtime result","scripts/verify-foundation-bridge.mjs",""
"Everbloom Worlds","xingxuling/everbloom-worlds","composite-plane","execution-reality","bridge","","GameBrain authorized selected action consumed by scoped world runtime","scripts/verify-foundation-bridge.mjs",""
"Everbloom Worlds","xingxuling/everbloom-worlds","meta-plane","meta-spacetime","none","","","",""
"Everbloom Worlds","xingxuling/everbloom-worlds","meta-plane","meta-acceleration","none","","","",""
"Everbloom Worlds","xingxuling/everbloom-worlds","meta-plane","meta-compression","none","","","",""
"Everbloom Worlds","xingxuling/everbloom-worlds","cross-domain-axis","authority-boundary","bridge","","GameBrain authority and scoped world dispatch","scripts/verify-foundation-bridge.mjs",""
